Country,GDP per capita,Suicide rate,suicide rank
Pakistan,1626 ,9.6,1
Canada,54087 ,10.1,1
Kenya,1631 ,10.2,1
Ghana,2045 ,10.3,1
Malawi,806 ,10.3,1
Cote d'Ivoire,2315 ,10.4,1
India,2190 ,10.5,1
Panama,11978 ,10.5,1
Italy,33362 ,10.6,1
Mexico,9481 ,10.6,1
Australia,59542 ,10.7,1
Kuwait,70976 ,10.7,1
Netherlands,53582 ,10.7,1
Nigeria,2009 ,10.7,1
Haiti,879 ,10.8,1
Ireland,75638 ,10.8,1
Bangladesh,1573 ,10.9,1
Mozambique,1065 ,10.9,1
Norway,75588 ,11.1,1
United Kingdom,39720 ,11.1,1
Myanmar,1495 ,11.2,1
Denmark,60069 ,11.3,1
Philippines,3150 ,11.3,1
Austria,61906 ,11.5,1
Cameroon,2038 ,11.5,1
Dominican Republic,10743 ,11.5,1
Spain,29542 ,11.5,1
Iraq,4119 ,11.9,1
Madagascar,1266 ,11.9,2
Costa Rica,10918 ,12.1,2
Egypt,5311 ,12.1,2
Iran,5716 ,12.1,2
Gambia,1064 ,12.2,2
Benin,1578 ,12.5,2
Germany,50746 ,12.5,2
Guinea-Bissau,675 ,12.5,2
Mauritania,1757 ,12.7,2
Niger,947 ,12.7,2
Peru,6927 ,12.7,2
New Zealand,43144 ,12.8,2
Honduras,2939 ,12.9,2
Israel,41260 ,12.9,2
Mali,1078 ,12.9,2
Oman,19695 ,12.9,2
Switzerland,83832 ,12.9,2
Eritrea,556 ,13.1,2
Morocco,4067 ,13.1,2
"Congo, Rep.",1856 ,13.2,2
Portugal,24027 ,13.2,2
Liberia,647 ,13.3,2
Guinea,976 ,13.4,2
Indonesia,4541 ,13.4,2
Mauritius,13931 ,13.4,2
Ecuador,6755 ,13.5,2
Burkina Faso,1302 ,13.7,2
"Congo, Dem. Rep.",764 ,13.8,2
Ethiopia,793 ,14,3
Luxembourg,118287 ,14,3
United States,65112 ,14,3
Cyprus,30902 ,14.1,3
Jamaica,5399 ,14.1,3
Malaysia,10906 ,14.1,3
Bahrain,34734 ,14.3,3
Bhutan,3906 ,14.3,3
El Salvador,5012 ,14.3,3
France,43828 ,14.3,3
Jordan,5907 ,14.3,3
Laos,2398 ,14.3,3
Brunei Darussalam,78467 ,14.4,3
Djibouti,1599 ,14.4,3
Equatorial Guinea,16758 ,14.4,3
Guatemala,4543 ,14.4,3
Nicaragua,2942 ,14.4,3
Central African Republic,751 ,14.5,3
Malta,29097 ,14.5,3
Gabon,9829 ,14.6,3
Iceland,73181 ,14.6,3
Libya,6971 ,14.9,3
Cuba,7623 ,15,3
Paraguay,4527 ,15,3
Belgium,45532 ,15.2,3
Dominica,9719 ,15.2,3
Comoros,1107 ,15.3,3
Nepal,1184 ,15.3,3
Barbados,21743 ,15.4,4
Colombia,6486 ,15.4,4
Cambodia,1387 ,15.5,4
Chad,1053 ,15.5,4
Maldives,8828 ,15.5,4
Algeria,4534 ,15.6,4
Burundi,463 ,15.8,4
"Micronesia, Fed. Sts.",3914 ,15.8,4
Palau,14947 ,15.9,4
Papua New Guinea,2939 ,15.9,4
Kiribati,3623 ,16,4
China,10097 ,16.1,4
Marshall Islands,4970 ,16.3,4
Grenada,8917 ,16.5,4
Finland,43966 ,16.6,4
Lebanon,6620 ,16.7,4
Chile,19266 ,17.1,4
Croatia,13931 ,17.4,4
Cape Verde,3401 ,17.8,4
Fiji,4638 ,18.2,4
Lesotho,2303 ,18.3,4
Nauru,8928 ,18.4,4
Argentina,14647 ,18.5,4
Bahamas,22986 ,18.5,4
Greece,24362 ,18.5,4
Hungary,15421 ,18.5,4
Japan,41672 ,18.5,4
Brazil,9581 ,18.6,4
Czech Republic,22982 ,18.6,5
Antigua and Barbuda,14447 ,18.8,5
Andorra,46622 ,18.9,5
Bolivia,3005 ,19.3,5
Poland,18746 ,20.3,5
Botswana,8779 ,20.4,5
Angola,2077 ,20.5,5
Afghanistan,1105 ,20.6,5
Azerbaijan,6441 ,21.1,5
Macedonia,7387 ,21.4,5
Kyrgyzstan,3421 ,21.5,5
Namibia,5647 ,21.6,5
Belize,4246 ,21.9,5
Montenegro,7658 ,22,5
Kazakhstan,11420 ,22.7,5
Estonia,21179 ,24.6,5
Bulgaria,7386 ,25.3,5
Guyana,3936 ,25.6,5
Lithuania,21140 ,27.4,5
Thailand,6792 ,27.8,5
Bosnia and Herzegovina,5632 ,28.1,5
Georgia,4361 ,28.2,5
Moldova,2547 ,29.5,5
Belarus,8749 ,31.4,5
Mongolia,4927 ,32.1,5
Albania,4932 ,32.4,5
Latvia,19945 ,33.2,5
Armenia,3456 ,39.7,5
